state,murder,forcible_rape,robbery,aggravated_assault,burglary,larceny_theft,motor_vehicle_theft,population
United States,5.6,31.7,140.7,291.1,726.7,2286.3,416.7,295753151
Alabama,8.2,34.3,141.4,247.8,953.8,2650,288.3,4545049
Alaska,4.8,81.1,80.9,465.1,622.5,2599.1,391,669488
Arizona,7.5,33.8,144.4,327.4,948.4,2965.2,924.4,5974834
Arkansas,6.7,42.9,91.1,386.8,1084.6,2711.2,262.1,2776221
California,6.9,26,176.1,317.3,693.3,1916.5,712.8,35795255
Colorado,3.7,43.4,84.6,264.7,744.8,2735.2,559.5,4660780
Connecticut,2.9,20,113,138.6,437.1,1824.1,296.8,3477416
Delaware,4.4,44.7,154.8,428.2,688.9,2144,278.5,839906
District of Columbia,35.4,30.2,672.1,721.3,649.7,2694.9,1402.3,582049
Florida,5,37.1,169.4,496.6,926.3,2658.3,423.3,17783868
Georgia,6.2,23.6,154.8,264.3,931,2751.1,490.2,9097428
Hawaii,1.9,26.9,78.5,147.8,767.9,3308.4,716.4,1266117
Idaho,2.4,40.4,18.6,195.4,564.4,1931.7,201.8,1425862
Illinois,6,33.7,181.7,330.2,606.9,2164.8,308.6,12674452
Indiana,5.7,29.6,108.6,179.9,697.6,2412,346.7,6253120
Iowa,1.3,27.9,38.9,223.3,606.4,2042.7,184.6,2949450
Kansas,3.7,38.4,65.3,280,689.2,2758.1,339.6,2741771
Kentucky,4.6,34,88.4,139.8,634,1685.8,210.8,4182293
